sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
22N13737	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13737	22N13737-22N13737-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13737_S42_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13737_S42_L001_R2_001.fastq.gz	2086272.05	2206836.374
22N13745	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13745	22N13745-22N13745-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13745_S43_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13745_S43_L001_R2_001.fastq.gz	1672263.498	1745902.372
22N13747	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13747	22N13747-22N13747-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13747_S44_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13747_S44_L001_R2_001.fastq.gz	2058105.402	2160319.442
22N13748	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13748	22N13748-22N13748-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13748_S45_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13748_S45_L001_R2_001.fastq.gz	2061381.925	2162217.931
22N13750	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13750	22N13750-22N13750-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13750_S46_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13750_S46_L001_R2_001.fastq.gz	2564579.101	2669499.319
22N13752	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13752	22N13752-22N13752-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13752_S47_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13752_S47_L001_R2_001.fastq.gz	2381718.953	2502909.122
22N13755	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13755	22N13755-22N13755-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13755_S48_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13755_S48_L001_R2_001.fastq.gz	1990661.414	2061946.885
22N13756	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13756	22N13756-22N13756-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13756_S49_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13756_S49_L001_R2_001.fastq.gz	2074236.507	2148678.581
22N13757	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13757	22N13757-22N13757-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13757_S50_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13757_S50_L001_R2_001.fastq.gz	2060499.12	2161537.087
22N13759	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13759	22N13759-22N13759-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13759_S51_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13759_S51_L001_R2_001.fastq.gz	1695014.877	1760651.51
22N13763	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13763	22N13763-22N13763-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13763_S52_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13763_S52_L001_R2_001.fastq.gz	2364369.776	2451710.467
22N13764	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13764	22N13764-22N13764-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13764_S53_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13764_S53_L001_R2_001.fastq.gz	2727113.416	2874352.205
22N13765	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13765	22N13765-22N13765-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13765_S54_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13765_S54_L001_R2_001.fastq.gz	2124775.764	2242860.574
22N13768	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13768	22N13768-22N13768-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13768_S55_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13768_S55_L001_R2_001.fastq.gz	2034605.349	2110465.029
22N13770	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13770	22N13770-22N13770-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13770_S56_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13770_S56_L001_R2_001.fastq.gz	2328361.475	2458209.31
22N13771	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13771	22N13771-22N13771-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13771_S57_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13771_S57_L001_R2_001.fastq.gz	2877184.332	3064272.974
22N13772	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13772	22N13772-22N13772-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13772_S58_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13772_S58_L001_R2_001.fastq.gz	2101152.669	2172423.368
22N13776	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13776	22N13776-22N13776-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13776_S59_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13776_S59_L001_R2_001.fastq.gz	2947893.556	3117436.48
22N13777	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13777	22N13777-22N13777-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13777_S60_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13777_S60_L001_R2_001.fastq.gz	2858570.364	3013586.964
22N13780	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13780	22N13780-22N13780-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13780_S61_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13780_S61_L001_R2_001.fastq.gz	2489292.489	2587302.286
22N13786	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13786	22N13786-22N13786-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13786_S62_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13786_S62_L001_R2_001.fastq.gz	2537169.831	2632545.476
22N13788	1	Plate2	HCNWNDSX7	ILLUMINA	1	22N13788	22N13788-22N13788-Plate2	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13788_S63_L001_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate2/22N13788_S63_L001_R2_001.fastq.gz	1866440.979	1916636.59
